front,back,example,tags
Ich hätte gern ...,I would like ...,Ich hätte gern einen Kaffee.,phrase
Wo ist ...?,Where is ...?,Wo ist die Toilette?,phrase
Bis bald,See you soon,"Tschüss, bis bald!","phrase,greeting"
Alles klar,All clear/Okay,"Alles klar, machen wir das.",phrase
Kein Problem,No problem,"Kein Problem, gern geschehen.",phrase
eins,one,Es ist eins.,number
zwei,two,Ich habe zwei Brüder.,number
drei,three,"Drei Kaffee, bitte.",number
vier,four,Vier Personen kommen.,number
fünf,five,Es ist fünf Uhr.,number
zehn,ten,Zehn Minuten noch.,number
zwanzig,twenty,"Zwanzig Euro, bitte.",number
hundert,hundred,Hundert Prozent.,number
der Montag,Monday,Am Montag arbeite ich.,"time,der"
der Dienstag,Tuesday,Dienstag habe ich frei.,"time,der"
der Mittwoch,Wednesday,Mittwoch ist Markttag.,"time,der"
der Donnerstag,Thursday,Donnerstag kommt sie.,"time,der"
der Freitag,Friday,Freitag gehen wir aus.,"time,der"
das Wochenende,the weekend,Schönes Wochenende!,"time,das"
heute,today,Heute ist es warm.,time
morgen,tomorrow,Morgen habe ich Zeit.,time
gestern,yesterday,Gestern hat es geregnet.,time
jetzt,now,Ich komme jetzt.,time
immer,always,Sie ist immer pünktlich.,time
nie,never,Ich vergesse das nie.,time
